Article_no,prd_name,prd_description,prd_type,prd_category,prd_price,min_acceptable_price,product_image_path,size_s,size_m,size_l,size_xl
pr001,Ban collar black jacket,A full black light-weight zipper jacket with ban collars and designed with simple and stylish look.,garments,men,2399,1500,../../static/products/Men/pr001.jpg,20,20,20,20
pr002,Black shirt with zipper,"A black long-sleeved, long shirt with zippers and opening on the sideways",garments,men,999,750,../../static/products/Men/pr002.jpg,20,20,20,20
pr003,Blue-t-shirt,"An elegant crew neck, half-sleeved blue shirt made up of soft and high quality cotton. ",garments,men,799,600,../../static/products/Men/pr003.jpg,20,20,20,20
pr004,Casual woolen shirt,A soft woolen shirt made up of high quality fabric with two pockets in front and beautiful and contrasting black buttons,garments,men,1499,1100,../../static/products/Men/pr004.jpg,20,20,20,20
pr005,Men check shirt,Wonderful high quality fabric check shirt for men with a choice of elegant styles.,garments,men,1299,900,../../static/products/Men/pr005.jpg,20,20,20,20
pr006,Light blue denim jeans,High quality denim jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1499,1000,../../static/products/Men/pr006.jpg,20,20,20,20
pr007,Diesel denim jeans,High quality diesel colored jeans with a stylish look and elegant fabric with strechable texture.,garments,men,1499,1000,../../static/products/Men/pr007.jpg,20,20,20,20
pr008,Onitsuka graphic t-shirt,Cool black t-shirt with a wonderful logo printed in red and white and made up of high quality fabric.,garments,men,799,600,../../static/products/Men/pr008.jpg,20,20,20,20
pr009,Gray casual shirt,Simple and decent casual shirt for men who want to look simple as well as graceful. Made from high quality cotton ,garments,men,1299,900,../../static/products/Men/pr009.jpg,20,20,20,20
pr010,Stylish gray casual shirt,Full sleeved and graceful looking casual shirt with grey color plus white texture on the soft and high quality fabric that looks appeasing for stylish outfits.,garments,men,1299,900,../../static/products/Men/pr010.jpg,20,20,20,20
pr011,Grey-t-shirt,"An elegant crew neck, half-sleeved grey shirt made up of soft and high quality cotton.",garments,men,899,600,../../static/products/Men/pr011.jpg,20,20,20,20
pr012,Lightweight mens jacket,Lightweight and stylish mens jacket made up of waterproof fabric style plus water resistance in one place.,garments,men,1999,1200,../../static/products/Men/pr012.jpg,20,20,20,20
pr013,Karsten blue shirt,Royal blue half sleeved karsten collared shirt made up of fine combed cotton and having a front pocket on left.,garments,men,1199,900,../../static/products/Men/pr013.png,20,20,20,20
pr014,Men black trousers,Lightweight men black trousers made with high quality fabric to provide for a comforting and simple outerlook.,garments,men,1299,900,../../static/products/Men/pr014.jpg,20,20,20,20
pr015,Mens spring summer jacket,Lightweight men navy blue jacket made for style and grace in spring and summer seasons also providing resistance to water.,garments,men,1399,900,../../static/products/Men/pr015.jpg,20,20,20,20
pr016,Puma trousers gray,Lightweight men black grey trousers made with high quality fabric to provide for a comforting and simple outerlook and manufactured by Puma,garments,men,1299,950,../../static/products/Men/pr016.jpg,20,20,20,20
pr017,Purple-t-shirt,"An elegant crew neck, half-sleeved purple shirt made up of soft and high quality cotton.",garments,men,799,600,../../static/products/Men/pr017.jpg,20,20,20,20
pr018,Skin jeans dark gray,High quality dark gray skin jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1499,1100,../../static/products/Men/pr018.jpg,20,20,20,20
pr019,Slate casual shirt,A soft casual shirt made up of high quality fabric with two pockets in front and beautiful and a warm slate color.,garments,men,1299,1000,../../static/products/Men/pr019.jpg,20,20,20,20
pr020,Teal-t-shirt,"An elegant crew neck, half-sleeved teal colored shirt made up of soft and high quality cotton.",garments,men,799,600,../../static/products/Men/pr020.jpg,20,20,20,20
pr021,Urban blue jeans,High quality urban jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1599,1000,../../static/products/Men/pr021.jpg,20,20,20,20
pr022,Anchor bracelet for men,This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality synthetic leather and stainless steel anchor.,accessories,men,899,600,../../static/products/Men/Accessories/pr022.jpg,20,20,20,20
pr023,Black buddha bracelet,This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality beads with a golden buddha head,accessories,men,899,600,../../static/products/Men/Accessories/pr023.jpg,20,20,20,20
pr024,Chakra bracelet,This bracelet is made to provide men with additional bit of style in their outlook. Its made up of high quality black as well as colored beads to provide for a colorful look.,accessories,men,899,600,../../static/products/Men/Accessories/pr024.jpg,20,20,20,20
pr025,Hot dog pin,High quality little pin made to stick to your shirt or jacket to provide additional style that stylish men wants.,accessories,men,699,450,../../static/products/Men/Accessories/pr025.jpg,20,20,20,20
pr026,Pizza enamel pin,High quality little pin made to stick to your shirt or jacket to provide additional style that stylish men wants.,accessories,men,699,450,../../static/products/Men/Accessories/pr026.jpg,20,20,20,20
pr027,Aqua Desi Kurti for women,Aqua colored kurti made for women who want to look cool plus desi in their outfit. Its made up of high quality fabric with stylish design on neck and sleeves.,garments,women,1999,1300,../../static/products/Women/pr027.jpg,20,20,20,20
pr028,Embroidered white women top,Wonderful white colored shirt with flower embroidery on both sleeves. Its made up of high quality and soft fabric.,garments,women,1499,900,../../static/products/Women/pr028.jpg,20,20,20,20
pr029,Orange Stylish Kurti for women,Orange colored dress made for women who want to look cool in their outfit. Its made up of high quality fabric with fresh bright orange color.,garments,women,1999,1500,../../static/products/Women/pr029.jpg,20,20,20,20
pr030,Lightblue women top,Wonderful light blue women shirt with simple texture providing a decent look.,garments,women,1299,900,../../static/products/Women/pr030.jpg,20,20,20,20
pr031,Pink Kurti,Pink colored  kurtimade for women who want to look cool plus desi in their outfit. Its made up of high quality silky fabric with a fabulous design. ,garments,women,1999,1500,../../static/products/Women/pr031.jpg,20,20,20,20
pr032,Red t-shirt with pocket,Simple crewneck red color tee shirt for women who want to look cool in summers Its made up of high quality soft cotton fabric.,garments,women,999,600,../../static/products/Women/pr032.jpg,20,20,20,20
pr033,Stylish red top,Stylish women top with stylish design on the sleeves and edges of the shirt.,garments,women,1299,950,../../static/products/Women/pr033.jpg,20,20,20,20
pr034,Rama green rayon stylish top,Cool and wonderful rama green colored women top made up of high quality rayon fabric.,garments,women,1299,900,../../static/products/Women/pr034.jpg,20,20,20,20
pr035,Straight fit orange kurti,Perfectly designed orange kurti with straight fit made for women with simple choice of style and elegance.,garments,women,1999,1300,../../static/products/Women/pr035.jpg,20,20,20,20
pr036,Striped fashon t-shirt,Crewneck black and white striped tee shirt for women who want to look cool in summers Its made up of high quality soft cotton fabric.,garments,women,999,650,../../static/products/Women/pr036.jpg,20,20,20,20
pr037,Trendy flowered pattern top,Cute looking women top with trendy flower patterns on all over the high quality fabric making it look so damn fabulous.,garments,women,1299,900,../../static/products/Women/pr037.jpg,20,20,20,20
pr038,Women black top,Perfectly designed black with minimal design on fabric and made for women with simple choice of style and elegance.,garments,women,1299,1000,../../static/products/Women/pr038.jpg,20,20,20,20
pr039,Womens boho top,Stylish women top with stylish design on the sleeves and edges of the shirt. Made with high quality fabric having beautiful blue pattern all over,garments,women,1799,1100,../../static/products/Women/pr039.jpg,20,20,20,20
pr040,Black over the shoulder bag,Black colored over the shoulder bag made up of high quality synthetic leather and steel zippers that do not dissappoint.,accessories,women,3999,2700,../../static/products/Women/Accessories/pr040.jpg,20,20,20,20
pr041,Brown purse,Women purse with chocolate brown color made up of high quality material and quality buttons and zippers.,accessories,women,2999,2000,../../static/products/Women/Accessories/pr041.jpg,20,20,20,20
pr042,Light brown purse,Women purse with chocolate brown color made up of premium quality material and quality buttons and zippers.,accessories,women,2999,2200,../../static/products/Women/Accessories/pr042.jpg,20,20,20,20
pr043,Lemon purse,Cute lemon shaped purse for women who are looking to have cuteness and cool looking accessories,accessories,women,2599,1800,../../static/products/Women/Accessories/pr043.jpg,20,20,20,20
pr044,Light pink purse,Women purse with sweet pink color made up of premium quality material and quality buttons and zippers.,accessories,women,2999,2000,../../static/products/Women/Accessories/pr044.jpg,20,20,20,20
pr045,Marble fashion wristwatch,Wonderful black wrist watch for women. Its has premium quality soft leather straps and watch made up of water resistant material making it an excellent to have accessory.,accessories,women,1999,1400,../../static/products/Women/Accessories/pr045.jpg,20,20,20,20
pr046,Gold and blue necklace,Wonderfully designed and made necklace for women who love light and minimal jewellery with their outfits.,accessories,women,899,550,../../static/products/Women/Accessories/pr046.jpg,20,20,20,20
pr047,Women bracelet,Cool looking women bracelet made up of premium quality material and perfect for adding up more style to your outfits.,accessories,women,699,450,../../static/products/Women/Accessories/pr047.jpg,20,20,20,20
pr048,Threader necklace,Simple and decent looking necklace for women made up of high quality non corroding material.,accessories,women,999,699,../../static/products/Women/Accessories/pr048.jpg,20,20,20,20
pr049,Kid grey sweat pants,Lightweight sweat pant for kids made up of high quality soft and light woolen fabric.,garments,boy,999,650,../../static/products/Kids/Boys/pr049.jpg,20,20,20,20
pr050,Kid black beanie,Stylish beanie cap for kids made up of soft and warm fabric.,garments,boy,899,600,../../static/products/Kids/Boys/pr050.jpg,20,20,20,20
pr051,Kid raccoon tee,Stylish full sleeved black crewneck t-shirt with a raccoon print over the front made up of high quality soft fabric.,garments,boy,999,699,../../static/products/Kids/Boys/pr051.jpg,20,20,20,20
pr052,Black leather jacket for kids,Stylish kid leather jacket made up of premium quality synthetic leather.,garments,boy,999,699,../../static/products/Kids/Boys/pr052.jpg,20,20,20,20
pr053,Kid whale shirt,Stylish full sleeved black crewneck t-shirt with a raccoon print over the front made up of high quality soft fabric.,garments,boy,999,699,../../static/products/Kids/Boys/pr053.jpg,20,20,20,20
pr054,Kid zip-up,Cool looking zip up jacket for kids made up of two colored fabric blue and light grey.,garments,boy,1999,1400,../../static/products/Kids/Boys/pr054.jpg,20,20,20,20
pr055,Plaid shirt for kids,Soft woolen plaid casual shirt for kids. Its made up of fine cotton fabric and wonderful black and red color.,garments,boy,1299,900,../../static/products/Kids/Boys/pr055.jpg,20,20,20,20
pr056,Girls striped dress bl&w,Beautiful white and blue striped frock for little girls. Its made up of soft and quality fabric that doesn't dissappoint.,garments,girl,1499,1000,../../static/products/Kids/Girls/pr056.jpg,20,20,20,20
pr057,Girls striped dress b&w,Beautiful white and black striped frock for little girls. Its made up of soft and quality fabric that doesn't dissappoint.,garments,girl,1499,1000,../../static/products/Kids/Girls/pr057.jpg,20,20,20,20
pr058,Brown casuals,Casual brown shoes for men finely made with high quality leather adding a blast of style with jeans or shalwar kameez.,footwear,men,2999,2399,../../static/products/Shoes/pr058.jpg,20,20,20,20
pr059,Marc jacob lace-up shoes ,Stylish looking high quality lace up shoes for men by Marc Jacob. Its you are the person looking for elegance in their footwear then this product is for you.,footwear,men,5999,4599,../../static/products/Shoes/pr059.jpg,20,20,20,20
pr060,Men casual high sneakers,Cool casual sneakers with high tops for men wanting to add a touch of coolness to their styles,footwear,men,3999,2799,../../static/products/Shoes/pr060.jpg,20,20,20,20
pr061,Navy blue skate shoes,Cool casual skate shoes with amazing contrasting color for men wanting to add a touch of coolness to their styles,footwear,men,2599,1999,../../static/products/Shoes/pr061.jpg,20,20,20,20
pr062,Red LED shoes,Stylish Red colored sneakers with blue LED over the side of soles to make kids look stylish.,footwear,kids,2999,2499,../../static/products/Shoes/pr062.jpg,20,20,20,20
pr063,All black sneakers,Completely black comfortable sneakers for men made up of premium quality material and strong stitching.,footwear,men,2999,2499,../../static/products/Shoes/pr063.jpg,20,20,20,20
pr064,Shops23 sneakers,Stylish black and yellow sneakers for men who are looking to add touch of coolness to their footwear style.,footwear,men,3499,2999,../../static/products/Shoes/pr064.jpg,20,20,20,20
pr065,White lowtop LED shoes,Stylish full white colored sneakers with blue LEDs over the side of soles to make kids look stylish.,footwear,kids,2999,2499,../../static/products/Shoes/pr065.jpg,20,20,20,20
pr066,Kids Car t-shirt,Stylish full sleeved black crewneck t-shirt with a car print over the front made up of high quality soft fabric.,garments,boy,999,699,../../static/products/Kids/Boys/pr066.jpg,20,20,20,20
pr067,Kids Wear Kurta Shalwar,"Fabric: Cotton
Style: Shalwar Kameez
Mustard Color Self Printed & Embroidered Cotton Kids/Boys Salwar Kameez.
Printed Sleeves.
Self Printed Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr067.jpg,20,20,20,20
pr068,Kids Wear Kurta Shalwar,"Fabric: Cotton
Style: Salwar Kameez
Blue Color pati work over Cotton Kids/Boys Salwar Kameez.
Plain Sleeves.
Plain Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr068.jpg,20,20,20,20
pr069,Kids Wear Kurta Shalwar,"Blue Color Self Printed Cotton Kids/Boys Salwar Kameez.
Printed Sleeves.
Self Printed Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr069.jpg,20,20,20,20
pr070,Kids Wear Kurta Shalwar,"White Color Self Printed & Embroidered Cotton Kids/Boys Salwar Kameez.
Printed Sleeves.
Self Printed Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr070.jpg,20,20,20,20
pr071,Kids Wear Kurta Shalwar,"Fabric: Cotton
Style: Salwar Kameez
White Color Cotton Kids/Boys Salwar Kameez.
Plain Sleeves.
Plain Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr071.jpg,20,20,20,20
pr072,Kids Wear Kurta Shalwar,"Mustard Color Self Printed & Embroidered Cotton Kids/Boys Salwar Kameez. It has Printed Sleeves and
Self Printed Back it comes with a Plain White Trouser.",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr072.jpg,20,20,20,20
pr073,Kids Wear Kurta Shalwar,"Fabric: Cotton
Style: Shalwar Kameez
Black Color Self Printed Cotton Kids/Boys Salwar Kameez.
Printed Sleeves.
Self Printed Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr073.jpg,20,20,20,20
pr074,Kids Wear Kurta Shalwar,"Fabric: Cotton
Style: Salwar Kameez
Purple Color Self Printed Cotton Kids/Boys Salwar Kameez.
Printed Sleeves.
Self Printed Back
Plain White Trouser",Shalwar Kameez,boy,1800,1200,../../static/products/Kids/Boys/pr074.jpg,20,20,20,20
pr075,Shoes by Armani Jeans,Casual shoes by Armani Jeans made with 100% quality material and strong stitching.,footwear,men,2799,2399,../../static/products/Shoes/pr075.jpg,20,20,20,20
,,,,,,,,,,,
pr076,Blue denim jeans,High quality denim jeans made from imported fabric and with a cool look that will match with almost any color.,garments,men,1799,1200,../../static/products/Men/pr076.jpg,20,20,20,20
pr077,Sweat shirt & Tee Combo by Z Zegna,High quality cotton shirts combo. One Long Sleeved Sweat shirt and one T-shirt with a printed logo. Deal of 2 in lowest price. ,garments,men,1799,1399,../../static/products/Men/pr077.jpg,20,20,20,20
pr078,Sweat suit by Armani,A sweat shirt with a trouser made up of soft warm cotton for comfort lifestyle.,garments,men,2399,1799,../../static/products/Men/pr078.jpg,20,20,20,20
pr079,Coat and Jeans Combo,A warm casual coat by Z Zegna paired up with a white jeans made up of high quality fabric and high quality stitching.,garments,men,3899,3399,../../static/products/Men/pr079.jpg,20,20,20,20
pr080,SweatShirt Combo by Armani,A pair of two sweat shirts made up of high quality soft cotton with fleeced interior for perfect comfort.,garments,men,2600,2000,../../static/products/Men/pr080.jpg,20,20,20,20
pr081,Jumper Jacket by Z Zegna,Light weight quilted jumper/gillet made up of water proof material and also equipped with a hood.,garments,men,1500,1100,../../static/products/Men/pr081.jpg,20,20,20,20
pr082,Casual shirt combo,A pair of stylish casual shirts having different colors and cool patterns.,garments,men,1999,1599,../../static/products/Men/pr082.jpg,20,20,20,20
pr083,Sweat and Dress shirt combo,Combo of sweat shirt styled with camoflage pattern and a light blue dress shirt with french collars.,garments,men,1999,1699,../../static/products/Men/pr083.jpg,20,20,20,20
pr084,Kurta-1,Pakistani Stitch Pink Color Summer Lawn Kurta. Neck Embroidered With Tussles over Daman,Kurta,women,1199,800,../../static/products/Women/pr084.jpg,10,10,10,10
pr085,Kurta-2,Pakistani Stitch Maroon Color Summer Lawn Kurta. Front Full Embroidered With Tussles over Daman,Kurta,women,1199,800,../../static/products/Women/pr085.jpg,10,10,10,10
pr086,Kurta-3,Pakistani Stitch White Color Summer Lawn Kurta. Neck Embroidered With Stones at Daman,Kurta,women,1199,800,../../static/products/Women/pr086.jpg,10,10,10,10
pr087,Kurta-4,Pakistani Stitch Green Color Summer Lawn Kurta. Neck Embroidered With Stone over Daman,Kurta,women,1199,800,../../static/products/Women/pr087.jpg,10,10,10,10
pr088,Kurta-5,Pakistani Stitch Maroon Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr088.jpg,10,10,10,10
pr089,Kurta-6,Pakistani Stitch Red Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr089.jpg,10,10,10,10
pr090,Kurta-7,Pakistani Stitch Orange Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr090.jpg,10,10,10,10
pr091,Kurta-8,Pakistani Stitch Black Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr091.jpg,10,10,10,10
pr092,Kurta-9,Pakistani Stitch Green Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr092.jpg,10,10,10,10
pr093,Kurta-10,Pakistani Stitch Yellow/White Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr093.jpg,10,10,10,10
pr094,Kurta-11,Pakistani Stitch Pink Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr094.jpg,10,10,10,10
pr095,Kurta-12,Pakistani Stitch Light Pink Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr095.jpg,10,10,10,10
pr096,Kurta-13,Pakistani Stitch Yellow Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr096.jpg,10,10,10,10
pr097,Kurta-14,Pakistani Stitch Grey-Blue Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr097.jpg,10,10,10,10
pr098,Kurta-15,Pakistani Stitch Multi Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr098.jpg,10,10,10,10
pr099,Kurta-16,Pakistani Stitch Yellow Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr099.jpg,10,10,10,10
pr100,Kurta-17,Pakistani Stitch Multi Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr100.jpg,10,10,10,10
pr101,Kurta-18,Pakistani Stitch light green Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr101.jpg,10,10,10,10
pr102,Kurta-19,Pakistani Stitch Skin Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr102.jpg,10,10,10,10
pr103,Kurta-20,Pakistani Stitch Pink Color Summer Lawn Kurta. Neck Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr103.jpg,10,10,10,10
pr104,Kurta-21,Pakistani Stitch Dark Pink Color Summer Lawn Kurta. Full Embroidered & Printed Daman,Kurta,women,1199,800,../../static/products/Women/pr104.jpg,10,10,10,10
pr105,Stitched Embroidered Lawn Trouser,"Amazing Plain Black Color Stitched Embroidered Lawn Trouser
Black Color Velvet Lace Work with Velvet Buttons Over Lawn Trouser Embroidered
Packing: Plastic bag ",Trouser,women,1299,900,../../static/products/Women/pr105.jpg,10,10,10,10
pr106,Stitched Embroidered Lawn Trouser,"Amazing Plain Skin Color Stitched Embroidered Lawn Trouser
Skin Color Chiffon Lace Work with Velvet Buttons Over Lawn Trouser Embroidered
Packing: Plastic bag ",Trouser,women,1299,900,../../static/products/Women/pr106.jpg,10,10,10,10
pr107,Stitched Embroidered Lawn Trouser,"Amazing Plain White Color Stitched Embroidered Lawn Trouser
White Color Embroidered Lace Work Over Lawn Trouser Embroidered
Packing: Plastic bag ",Trouser,women,1299,900,../../static/products/Women/pr107.jpg,10,10,10,10
pr108,Stitched Embroidered Lawn Trouser,"Amazing Black Color Stitched Embroidered Lawn Trouser
Sliver Color Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag ",Trouser,women,999,700,../../static/products/Women/pr108.jpg,10,10,10,10
pr109,Stitched Embroidered Lawn Trouser,"Amazing Black Color Stitched Embroidered Lawn Trouser
Black Color Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag ",Trouser,women,999,700,../../static/products/Women/pr109.jpg,10,10,10,10
pr110,Stitched Embroidered Lawn Trouser,"Amazing White Color Stitched Embroidered Lawn Trouser
Red Color Flower Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag",Trouser,women,999,700,../../static/products/Women/pr110.jpg,10,10,10,10
pr111,Stitched Embroidered Lawn Trouser,"Amazing Skin Color Stitched Embroidered Lawn Trouser
Skin Color Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag",Trouser,women,999,700,../../static/products/Women/pr111.jpg,10,10,10,10
pr112,Stitched Embroidered Lawn Trouser,"Amazing Skin Color Stitched Embroidered Lawn Trouser
Silver Color Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag",Trouser,women,999,700,../../static/products/Women/pr112.jpg,10,10,10,10
pr113,Stitched Embroidered Lawn Trouser,"Amazing White Color Stitched Embroidered Lawn Trouser
White Color Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag",Trouser,women,999,700,../../static/products/Women/pr113.jpg,10,10,10,10
pr114,Stitched Embroidered Lawn Trouser,"Amazing White Color Stitched Embroidered Lawn Trouser
Skin Color Embroidery Work Over Lawn Trouser Embroidered
Packing: Plastic bag",Trouser,women,999,700,../../static/products/Women/pr114.jpg,10,10,10,10
pr115,High tops by Armani Jeans,Casual high topped shoes by Armani Jeans made with 100% quality material and strong stitching.,footwear,men,3199,2599,../../static/products/Shoes/pr115.jpg,20,20,20,20
